Date,Close
1994-01-04 00:00:00+09:00,17369.740234375
1994-01-05 00:00:00+09:00,17783.48046875
1994-01-06 00:00:00+09:00,17881.990234375
1994-01-07 00:00:00+09:00,18124.009765625
1994-01-10 00:00:00+09:00,18443.439453125
1994-01-11 00:00:00+09:00,18485.25
1994-01-12 00:00:00+09:00,18793.880859375
1994-01-13 00:00:00+09:00,18577.259765625
1994-01-14 00:00:00+09:00,18973.69921875
1994-01-17 00:00:00+09:00,18725.369140625
1994-01-18 00:00:00+09:00,18514.55078125
1994-01-19 00:00:00+09:00,19039.400390625
1994-01-20 00:00:00+09:00,19183.919921875
1994-01-21 00:00:00+09:00,19307.4296875
1994-01-24 00:00:00+09:00,18353.240234375
1994-01-25 00:00:00+09:00,18648.359375
1994-01-26 00:00:00+09:00,19138.2109375
1994-01-27 00:00:00+09:00,18891.7890625
1994-01-28 00:00:00+09:00,18757.880859375
1994-01-31 00:00:00+09:00,20229.119140625
1994-02-01 00:00:00+09:00,20416.33984375
1994-02-02 00:00:00+09:00,20250.029296875
1994-02-03 00:00:00+09:00,20174.8203125
1994-02-04 00:00:00+09:00,20301.4296875
1994-02-07 00:00:00+09:00,20014.400390625
1994-02-08 00:00:00+09:00,20251.23046875
1994-02-09 00:00:00+09:00,19841.380859375
1994-02-10 00:00:00+09:00,19990.69921875
1994-02-14 00:00:00+09:00,19459.25
1994-02-15 00:00:00+09:00,18974.599609375
1994-02-16 00:00:00+09:00,19052.109375
1994-02-17 00:00:00+09:00,18931.390625
1994-02-18 00:00:00+09:00,18959.599609375
1994-02-21 00:00:00+09:00,19393.939453125
1994-02-22 00:00:00+09:00,19342.630859375
1994-02-23 00:00:00+09:00,19341.830078125
1994-02-24 00:00:00+09:00,19765.48046875
1994-02-25 00:00:00+09:00,19803.380859375
1994-02-28 00:00:00+09:00,19997.19921875
1994-03-01 00:00:00+09:00,20216.619140625
1994-03-02 00:00:00+09:00,19744.76953125
1994-03-03 00:00:00+09:00,19605.859375
1994-03-04 00:00:00+09:00,19966.0
1994-03-07 00:00:00+09:00,19811.880859375
1994-03-08 00:00:00+09:00,19898.390625
1994-03-09 00:00:00+09:00,19839.1796875
1994-03-10 00:00:00+09:00,20090.7109375
1994-03-11 00:00:00+09:00,20115.310546875
1994-03-14 00:00:00+09:00,20526.150390625
1994-03-15 00:00:00+09:00,20508.849609375
1994-03-16 00:00:00+09:00,20677.76953125
1994-03-17 00:00:00+09:00,20592.16015625
1994-03-18 00:00:00+09:00,20469.44921875
1994-03-22 00:00:00+09:00,20253.529296875
1994-03-23 00:00:00+09:00,19962.099609375
1994-03-24 00:00:00+09:00,20037.900390625
1994-03-25 00:00:00+09:00,19836.48046875
1994-03-28 00:00:00+09:00,19941.7890625
1994-03-29 00:00:00+09:00,19709.740234375
1994-03-30 00:00:00+09:00,19559.91015625
1994-03-31 00:00:00+09:00,19111.919921875
1994-04-01 00:00:00+09:00,19277.16015625
1994-04-04 00:00:00+09:00,19122.220703125
